1,ファイア,Skill,Magic,Attack,0.1
2,メガファイア,Skill,Magic,Attack,0.2
3,ギガファイア,Skill,Magic,Attack,0.3
4,サンダー,Skill,Magic,Attack,0.1
5,メガサンダー,Skill,Magic,Attack,0.3
6,ギガサンダー,Skill,Magic,Attack,0.4
7,アイス,Skill,Magic,Attack,0.1
8,メガアイス,Skill,Magic,Attack,0.2
9,ギガアイス,Skill,Magic,Attack,0.5
10,ウィンド,Skill,Magic,Attack,0.1
11,メガウィンド,Skill,Magic,Attack,0.3
12,ギガウィンド,Skill,Magic,Attack,0.5
13,一閃,Skill,Physical,Attack,0.1
14,超一閃,Skill,Physical,Attack,0.2
15,卍超一閃卍,Skill,Physical,Attack,0.6
16,殴り,Skill,Physical,Attack,0.1
17,マジ殴り,Skill,Physical,Attack,0.2
18,本気マジ殴り,Skill,Physical,Attack,0.4
19,電撃蹴り,Skill,Physical,Attack,0.1
20,雷鳴蹴り,Skill,Physical,Attack,0.2
21,閃光斬り,Skill,Physical,Attack,0.3
22,並ラリアット,Skill,Physical,Attack,0.1
23,大ラリアット,Skill,Physical,Attack,0.2
24,特大ラリアット,Skill,Physical,Attack,0.7
25,ヒール,Skill,Magic,Heal,0.2
26,テラヒール,Skill,Magic,Heal,0.3
27,身体修復,Skill,Physical,Heal,0.2
28,完全修復,Skill,Physical,Heal,0.3
29,アタックブースト,Skill,Magic,Buff,0.3
30,スピードブースト,Skill,Magic,Buff,0.2
31,守りの鼓舞,Skill,Physical,Buff,0.3
32,攻めの鼓舞,Skill,Physical,Buff,0.3
33,シールドブレイク,Skill,Magic,Debuff,0.5
34,スローカース,Skill,Magic,Debuff,0.4
35,守備撃破,Skill,Physical,Debuff,0.2
36,雄叫び,Skill,Physical,Debuff,0.5
37,ポイズン,Skill,Magic,Abnormal,0.6
38,パラライズ,Skill,Magic,Abnormal,0.5
39,スリープ,Skill,Magic,Abnormal,0.7
40,毒噴射,Skill,Physical,Abnormal,0.5
41,痺れ粉,Skill,Physical,Abnormal,0.3
42,睡眠薬,Skill,Physical,Abnormal,0.8
43,百列肉球,Skill,Physical,Attack,1
44,ネオアームストロングサイクロンジェットアームストロング砲,Skill,Physical,Attack,1
45,さばきのつぶて,Skill,Magic,Attack,0.9
46,千年殺し,Skill,Physical,Attack,0.8
47,サイコキネシス,Skill,Magic,Attack,0.8
